Competition_Name,Gender,Country,Season_End_Year,Wk,Day,Date,Time,Home_xG,Away_xG,Attendance,Venue,Referee,Notes,MatchURL,Home_Away,Team,Home_Away_Goals,Goals
Liga MX,M,MEX,2025,1,Fri,2024-07-05,17:45,1.5,0.5,8331,Estadio Cuauhtémoc,Jorge Camacho,NA,https://fbref.com/en/matches/88517cc4/Puebla-Santos-Laguna-July-5-2024-Liga-MX,Home,Puebla,HomeGoals,1
Liga MX,M,MEX,2025,1,Fri,2024-07-05,17:45,1.5,0.5,8331,Estadio Cuauhtémoc,Jorge Camacho,NA,https://fbref.com/en/matches/88517cc4/Puebla-Santos-Laguna-July-5-2024-Liga-MX,Away,Santos,AwayGoals,0
Liga MX,M,MEX,2025,1,Fri,2024-07-05,20:00,0.8,2.1,9237,Estadio La Corregidora,Luis García,NA,https://fbref.com/en/matches/7b352a78/Queretaro-Tijuana-July-5-2024-Liga-MX,Home,Querétaro,HomeGoals,1
Liga MX,M,MEX,2025,1,Fri,2024-07-05,20:00,0.8,2.1,9237,Estadio La Corregidora,Luis García,NA,https://fbref.com/en/matches/7b352a78/Queretaro-Tijuana-July-5-2024-Liga-MX,Away,Tijuana,AwayGoals,2
Liga MX,M,MEX,2025,1,Fri,2024-07-05,21:10,1.1,1,7046,Estadio Olímpico Benito Juárez,Óscar Macias,NA,https://fbref.com/en/matches/9cdac0e5/FC-Juarez-Atlas-July-5-2024-Liga-MX,Home,FC Juárez,HomeGoals,2
Liga MX,M,MEX,2025,1,Fri,2024-07-05,21:10,1.1,1,7046,Estadio Olímpico Benito Juárez,Óscar Macias,NA,https://fbref.com/en/matches/9cdac0e5/FC-Juarez-Atlas-July-5-2024-Liga-MX,Away,Atlas,AwayGoals,2
Liga MX,M,MEX,2025,1,Sat,2024-07-06,18:00,1.2,1.1,21480,Estadio Alfonso Lastras Ramírez,Iván López,NA,https://fbref.com/en/matches/9102a6f8/Atletico-America-July-6-2024-Liga-MX,Home,Atlético,HomeGoals,2
Liga MX,M,MEX,2025,1,Sat,2024-07-06,18:00,1.2,1.1,21480,Estadio Alfonso Lastras Ramírez,Iván López,NA,https://fbref.com/en/matches/9102a6f8/Atletico-America-July-6-2024-Liga-MX,Away,América,AwayGoals,1
Liga MX,M,MEX,2025,1,Sat,2024-07-06,20:00,1.3,0.6,37251,Estadio Akron,Jesus Lopez,NA,https://fbref.com/en/matches/48d8ef4c/Guadalajara-Toluca-July-6-2024-Liga-MX,Home,Guadalajara,HomeGoals,0
Liga MX,M,MEX,2025,1,Sat,2024-07-06,20:00,1.3,0.6,37251,Estadio Akron,Jesus Lopez,NA,https://fbref.com/en/matches/48d8ef4c/Guadalajara-Toluca-July-6-2024-Liga-MX,Away,Toluca,AwayGoals,0
Liga MX,M,MEX,2025,1,Sat,2024-07-06,20:00,1.7,0.7,40371,Estadio Universitario de Nuevo León,Vicente Arce,NA,https://fbref.com/en/matches/ddc3aef6/UANL-Necaxa-July-6-2024-Liga-MX,Home,UANL,HomeGoals,1
Liga MX,M,MEX,2025,1,Sat,2024-07-06,20:00,1.7,0.7,40371,Estadio Universitario de Nuevo León,Vicente Arce,NA,https://fbref.com/en/matches/ddc3aef6/UANL-Necaxa-July-6-2024-Liga-MX,Away,Necaxa,AwayGoals,0
Liga MX,M,MEX,2025,1,Sat,2024-07-06,22:00,2,0.6,15206,Estadio de la Ciudad de los Deportes,Karen Hernández,NA,https://fbref.com/en/matches/a1bc79a1/Cruz-Azul-Mazatlan-July-6-2024-Liga-MX,Home,Cruz Azul,HomeGoals,1
Liga MX,M,MEX,2025,1,Sat,2024-07-06,22:00,2,0.6,15206,Estadio de la Ciudad de los Deportes,Karen Hernández,NA,https://fbref.com/en/matches/a1bc79a1/Cruz-Azul-Mazatlan-July-6-2024-Liga-MX,Away,Mazatlán,AwayGoals,0
Liga MX,M,MEX,2025,1,Sun,2024-07-07,13:00,2.1,0.7,19950,Estadio Olímpico de Universitario,Maximiliano Quintero,NA,https://fbref.com/en/matches/5ac269f1/Pumas-UNAM-Leon-July-7-2024-Liga-MX,Home,UNAM,HomeGoals,4
Liga MX,M,MEX,2025,1,Sun,2024-07-07,13:00,2.1,0.7,19950,Estadio Olímpico de Universitario,Maximiliano Quintero,NA,https://fbref.com/en/matches/5ac269f1/Pumas-UNAM-Leon-July-7-2024-Liga-MX,Away,León,AwayGoals,1
Liga MX,M,MEX,2025,1,Sun,2024-07-07,20:06,0.9,1.7,NA,Estadio Hidalgo,Ismael Lopez,NA,https://fbref.com/en/matches/c53e9ff1/Pachuca-Monterrey-July-7-2024-Liga-MX,Home,Pachuca,HomeGoals,0
Liga MX,M,MEX,2025,1,Sun,2024-07-07,20:06,0.9,1.7,NA,Estadio Hidalgo,Ismael Lopez,NA,https://fbref.com/en/matches/c53e9ff1/Pachuca-Monterrey-July-7-2024-Liga-MX,Away,Monterrey,AwayGoals,1
Liga MX,M,MEX,2025,2,Fri,2024-07-12,20:00,2.3,1.2,NA,Estadio Caliente,Iván López,NA,https://fbref.com/en/matches/02ee74d6/Tijuana-Guadalajara-July-12-2024-Liga-MX,Home,Tijuana,HomeGoals,4
Liga MX,M,MEX,2025,2,Fri,2024-07-12,20:00,2.3,1.2,NA,Estadio Caliente,Iván López,NA,https://fbref.com/en/matches/02ee74d6/Tijuana-Guadalajara-July-12-2024-Liga-MX,Away,Guadalajara,AwayGoals,2
Liga MX,M,MEX,2025,2,Fri,2024-07-12,20:00,2.2,0.5,9997,Estadio de la Ciudad de los Deportes,Katia García,NA,https://fbref.com/en/matches/d0cd94d0/America-Queretaro-July-12-2024-Liga-MX,Home,América,HomeGoals,3
Liga MX,M,MEX,2025,2,Fri,2024-07-12,20:00,2.2,0.5,9997,Estadio de la Ciudad de los Deportes,Katia García,NA,https://fbref.com/en/matches/d0cd94d0/America-Queretaro-July-12-2024-Liga-MX,Away,Querétaro,AwayGoals,1
Liga MX,M,MEX,2025,2,Fri,2024-07-12,21:00,3.1,1.9,NA,Estadio El Encanto,Martín Molina,NA,https://fbref.com/en/matches/68158c5c/Mazatlan-Atletico-July-12-2024-Liga-MX,Home,Mazatlán,HomeGoals,2
Liga MX,M,MEX,2025,2,Fri,2024-07-12,21:00,3.1,1.9,NA,Estadio El Encanto,Martín Molina,NA,https://fbref.com/en/matches/68158c5c/Mazatlan-Atletico-July-12-2024-Liga-MX,Away,Atlético,AwayGoals,2
Liga MX,M,MEX,2025,2,Fri,2024-07-12,22:05,0.6,1.6,NA,Estadio Jalisco,Jorge Camacho,NA,https://fbref.com/en/matches/3c47d60a/Atlas-UANL-July-12-2024-Liga-MX,Home,Atlas,HomeGoals,1
Liga MX,M,MEX,2025,2,Fri,2024-07-12,22:05,0.6,1.6,NA,Estadio Jalisco,Jorge Camacho,NA,https://fbref.com/en/matches/3c47d60a/Atlas-UANL-July-12-2024-Liga-MX,Away,UANL,AwayGoals,1
Liga MX,M,MEX,2025,2,Sat,2024-07-13,18:00,2.4,0.9,13540,Estadio Victoria de Aguascalientes,Abraham Quirarte,NA,https://fbref.com/en/matches/a4323eea/Necaxa-Puebla-July-13-2024-Liga-MX,Home,Necaxa,HomeGoals,4
Liga MX,M,MEX,2025,2,Sat,2024-07-13,18:00,2.4,0.9,13540,Estadio Victoria de Aguascalientes,Abraham Quirarte,NA,https://fbref.com/en/matches/a4323eea/Necaxa-Puebla-July-13-2024-Liga-MX,Away,Puebla,AwayGoals,1
Liga MX,M,MEX,2025,2,Sat,2024-07-13,18:00,0.3,0.9,13279,Estadio León,Salvador Pérez Villalobos,NA,https://fbref.com/en/matches/eea65175/Leon-Pachuca-July-13-2024-Liga-MX,Home,León,HomeGoals,0
Liga MX,M,MEX,2025,2,Sat,2024-07-13,18:00,0.3,0.9,13279,Estadio León,Salvador Pérez Villalobos,NA,https://fbref.com/en/matches/eea65175/Leon-Pachuca-July-13-2024-Liga-MX,Away,Pachuca,AwayGoals,0
Liga MX,M,MEX,2025,2,Sat,2024-07-13,20:10,2,1.1,23320,Estadio Nemesio Díez,Vicente Arce,NA,https://fbref.com/en/matches/a412664c/Toluca-FC-Juarez-July-13-2024-Liga-MX,Home,Toluca,HomeGoals,3
Liga MX,M,MEX,2025,2,Sat,2024-07-13,20:10,2,1.1,23320,Estadio Nemesio Díez,Vicente Arce,NA,https://fbref.com/en/matches/a412664c/Toluca-FC-Juarez-July-13-2024-Liga-MX,Away,FC Juárez,AwayGoals,2
Liga MX,M,MEX,2025,2,Sat,2024-07-13,20:25,1.1,2.4,NA,Estadio Nuevo Corona,Charles Terrazas,NA,https://fbref.com/en/matches/6927c977/Santos-Laguna-Pumas-UNAM-July-13-2024-Liga-MX,Home,Santos,HomeGoals,1
Liga MX,M,MEX,2025,2,Sat,2024-07-13,20:25,1.1,2.4,NA,Estadio Nuevo Corona,Charles Terrazas,NA,https://fbref.com/en/matches/6927c977/Santos-Laguna-Pumas-UNAM-July-13-2024-Liga-MX,Away,UNAM,AwayGoals,1
Liga MX,M,MEX,2025,2,Sat,2024-07-13,22:10,0.4,1.9,45957,Estadio BBVA Bancomer,Maximiliano Quintero,NA,https://fbref.com/en/matches/e10aa873/Monterrey-Cruz-Azul-July-13-2024-Liga-MX,Home,Monterrey,HomeGoals,0
Liga MX,M,MEX,2025,2,Sat,2024-07-13,22:10,0.4,1.9,45957,Estadio BBVA Bancomer,Maximiliano Quintero,NA,https://fbref.com/en/matches/e10aa873/Monterrey-Cruz-Azul-July-13-2024-Liga-MX,Away,Cruz Azul,AwayGoals,4
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,0.6,2.2,NA,Estadio La Corregidora,Fernando Hernández,NA,https://fbref.com/en/matches/0e8b92ba/Queretaro-Guadalajara-July-16-2024-Liga-MX,Home,Querétaro,HomeGoals,0
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,0.6,2.2,NA,Estadio La Corregidora,Fernando Hernández,NA,https://fbref.com/en/matches/0e8b92ba/Queretaro-Guadalajara-July-16-2024-Liga-MX,Away,Guadalajara,AwayGoals,2
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,0.8,0.4,NA,Estadio Hidalgo,Víctor Cáceres,NA,https://fbref.com/en/matches/12fc3583/Pachuca-Atletico-July-16-2024-Liga-MX,Home,Pachuca,HomeGoals,2
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,0.8,0.4,NA,Estadio Hidalgo,Víctor Cáceres,NA,https://fbref.com/en/matches/12fc3583/Pachuca-Atletico-July-16-2024-Liga-MX,Away,Atlético,AwayGoals,0
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,2,0.1,NA,Estadio Jalisco,Luis Enrique Santander,NA,https://fbref.com/en/matches/25125f7d/Atlas-Santos-Laguna-July-16-2024-Liga-MX,Home,Atlas,HomeGoals,1
Liga MX,M,MEX,2025,3,Tue,2024-07-16,20:00,2,0.1,NA,Estadio Jalisco,Luis Enrique Santander,NA,https://fbref.com/en/matches/25125f7d/Atlas-Santos-Laguna-July-16-2024-Liga-MX,Away,Santos,AwayGoals,0
Liga MX,M,MEX,2025,3,Tue,2024-07-16,22:00,2.7,0.7,NA,Estadio Cuauhtémoc,Marco Antonio Ortíz,NA,https://fbref.com/en/matches/9e716cae/Puebla-Leon-July-16-2024-Liga-MX,Home,Puebla,HomeGoals,2
Liga MX,M,MEX,2025,3,Tue,2024-07-16,22:00,2.7,0.7,NA,Estadio Cuauhtémoc,Marco Antonio Ortíz,NA,https://fbref.com/en/matches/9e716cae/Puebla-Leon-July-16-2024-Liga-MX,Away,León,AwayGoals,2
Liga MX,M,MEX,2025,3,Tue,2024-07-16,22:05,2.2,0.5,NA,Estadio de la Ciudad de los Deportes,Ismael Lopez,NA,https://fbref.com/en/matches/8fdf09f7/Cruz-Azul-Tijuana-July-16-2024-Liga-MX,Home,Cruz Azul,HomeGoals,3
Liga MX,M,MEX,2025,3,Tue,2024-07-16,22:05,2.2,0.5,NA,Estadio de la Ciudad de los Deportes,Ismael Lopez,NA,https://fbref.com/en/matches/8fdf09f7/Cruz-Azul-Tijuana-July-16-2024-Liga-MX,Away,Tijuana,AwayGoals,0
Liga MX,M,MEX,2025,3,Wed,2024-07-17,19:06,0.9,0.5,NA,Estadio Olímpico Benito Juárez,Daniel Quintero,NA,https://fbref.com/en/matches/271939db/FC-Juarez-Pumas-UNAM-July-17-2024-Liga-MX,Home,FC Juárez,HomeGoals,1
Liga MX,M,MEX,2025,3,Wed,2024-07-17,19:06,0.9,0.5,NA,Estadio Olímpico Benito Juárez,Daniel Quintero,NA,https://fbref.com/en/matches/271939db/FC-Juarez-Pumas-UNAM-July-17-2024-Liga-MX,Away,UNAM,AwayGoals,2
Liga MX,M,MEX,2025,3,Wed,2024-07-17,20:00,0.3,0.8,NA,Estadio Victoria de Aguascalientes,Jesus Lopez,NA,https://fbref.com/en/matches/10d00081/Necaxa-Monterrey-July-17-2024-Liga-MX,Home,Necaxa,HomeGoals,0
Liga MX,M,MEX,2025,3,Wed,2024-07-17,20:00,0.3,0.8,NA,Estadio Victoria de Aguascalientes,Jesus Lopez,NA,https://fbref.com/en/matches/10d00081/Necaxa-Monterrey-July-17-2024-Liga-MX,Away,Monterrey,AwayGoals,1
Liga MX,M,MEX,2025,3,Wed,2024-07-17,22:00,1.1,1.6,NA,Estadio Universitario de Nuevo León,Fernando Guerrero,NA,https://fbref.com/en/matches/0859ee5a/UANL-America-July-17-2024-Liga-MX,Home,UANL,HomeGoals,1
Liga MX,M,MEX,2025,3,Wed,2024-07-17,22:00,1.1,1.6,NA,Estadio Universitario de Nuevo León,Fernando Guerrero,NA,https://fbref.com/en/matches/0859ee5a/UANL-America-July-17-2024-Liga-MX,Away,América,AwayGoals,0
Liga MX,M,MEX,2025,3,Wed,2024-07-17,22:00,1.2,0.4,NA,Estadio Nemesio Díez,Adonai Escobedo,NA,https://fbref.com/en/matches/68740c26/Toluca-Mazatlan-July-17-2024-Liga-MX,Home,Toluca,HomeGoals,3
Liga MX,M,MEX,2025,3,Wed,2024-07-17,22:00,1.2,0.4,NA,Estadio Nemesio Díez,Adonai Escobedo,NA,https://fbref.com/en/matches/68740c26/Toluca-Mazatlan-July-17-2024-Liga-MX,Away,Mazatlán,AwayGoals,0
Liga MX,M,MEX,2025,4,Fri,2024-07-19,20:00,1.1,1.3,NA,Estadio Alfonso Lastras Ramírez,Charles Terrazas,NA,https://fbref.com/en/matches/c9c4d2f4/Atletico-Tijuana-July-19-2024-Liga-MX,Home,Atlético,HomeGoals,1
